,Participant_Code,Outage_Reason,Year,Total_Number_Outage_Events,Average_Outage_Duration_in_Days,Risk_Classification
90,WGUTD,Consequential,2017,1,0.04,Low Risk
91,AURICON,Forced,2017,616,0.02,Low Risk
92,PMC,Forced,2017,49,0.02,Low Risk
93,AUXC,Forced,2017,124,0.01,Low Risk
94,MUND,Scheduled (Planned),2016,20,-0.02,Low Risk
95,PUG,Forced,2017,149,-0.04,Low Risk
96,ENRG,Forced,2016,27,-0.07,Low Risk
97,AUXC,Consequential,2017,1,-0.1,Low Risk
98,PMC,Forced,2016,72,-0.11,Low Risk
99,GW,Scheduled (Planned),2017,41,-0.15,Low Risk
100,MELK,Forced,2017,180,-0.15,Low Risk
101,MCG,Consequential,2017,2,-0.23,Low Risk
102,TSLA_MGT,Scheduled (Planned),2016,27,-0.24,Low Risk
103,GW,Scheduled (Planned),2016,68,-0.26,Low Risk
104,MELK,Forced,2016,170,-0.27,Low Risk
105,PJRH,Forced,2017,75,-0.3,Low Risk
106,COLLGAR,Forced,2016,40,-0.32,Low Risk
107,COLLGAR,Scheduled (Planned),2017,16,-0.43,Low Risk
108,KORL,Forced,2017,79,-0.47,Low Risk
109,PJRH,Forced,2016,81,-0.82,Low Risk
110,KORL,Scheduled (Planned),2017,20,-0.85,Low Risk
111,ENRG,Scheduled (Planned),2016,36,-1.47,Low Risk
112,PMC,Consequential,2017,8,-3.22,Low Risk
113,WGUTD,Forced,2017,8,-3.29,Low Risk
114,AUXC,Scheduled (Planned),2016,3,-8.74,Low Risk
